,cities,clouds,country,dt,humidity,lat,lon,speed,temp,temp_max
78,comodoro rivadavia,20,AR,1505343600,87,-45.87,-67.5,8.31,280.15,280.15
79,broome,0,AU,1505345400,31,-17.97,122.23,5.7,298.15,298.15
80,port elizabeth,0,ZA,1505343600,67,-33.92,25.57,6.2,288.15,288.15
81,vaini,40,TO,1505343600,64,-21.2,-175.2,4.1,297.15,297.15
82,lorengau,88,PG,1505347310,100,-2.02,147.27,2.06,299.945,299.945
83,nanortalik,92,GL,1505347310,90,60.14,-45.24,9.61,277.045,277.045
84,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
85,busselton,20,AU,1505346191,100,-33.65,115.33,3.11,285.045,285.045
86,tlahualilo,5,MX,1505342580,12,26.12,-103.45,0.66,308.15,308.15
87,kang,0,BW,1505347310,46,-23.68,22.79,1.61,286.345,286.345
88,port lincoln,76,AU,1505347311,88,-34.73,135.87,7.81,287.295,287.295
89,georgetown,20,GY,1505343600,88,6.8,-58.16,3.1,300.15,300.15
90,taolanaro,0,MG,1505343600,77,-25.02,46.97,6.2,294.15,294.15
91,castro,0,BR,1505346198,63,-24.79,-50.01,2.56,290.895,290.895
92,san quintin,0,MX,1505347311,54,30.48,-115.95,3.31,298.945,298.945
93,ostrovnoy,92,RU,1505346835,99,68.05,39.51,9.61,278.445,278.445
94,sumkino,80,RU,1505347311,84,58.11,68.32,3.16,279.995,279.995
95,bluff,76,NZ,1505346206,100,-46.6,168.33,3.56,283.645,283.645
96,karachi,75,PK,1505345100,74,24.91,67.08,5.7,300.15,300.15
97,ushuaia,40,AR,1505343600,55,-54.8,-68.3,5.7,275.6,276.15
98,bengkulu,68,ID,1505346816,100,-3.8,102.27,1.41,298.895,298.895
99,new norfolk,75,AU,1505341800,52,-42.78,147.06,8.7,281.15,281.15
100,nome,90,US,1505343180,81,64.5,-165.41,8.7,281.15,281.15
101,cahors,90,FR,1505345400,88,44.45,1.44,2.1,290.15,290.15
102,mataura,24,IN,1505346190,96,27.5,77.68,1.36,296.095,296.095
103,airai,68,IN,1505346792,98,25.35,82.47,0.91,296.445,296.445
104,punta arenas,75,CL,1505343600,80,-53.15,-70.92,10.8,274.15,274.15
105,necochea,0,AR,1505347213,62,-38.55,-58.74,4.76,287.245,287.245
106,mys shmidta,0,UA,1505346491,88,47.75,38.03,4.06,290.545,290.545
107,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
108,saldanha,8,ZA,1505343600,81,-33.01,17.94,1.5,279.15,279.15
109,hobart,75,AU,1505341800,52,-42.88,147.33,8.7,281.15,281.15
110,callaway,1,US,1505343360,78,30.15,-85.57,2.6,299.85,300.15
111,butaritari,92,KI,1505346199,100,3.07,172.79,9.01,302.195,302.195
112,saint-philippe,90,RE,1505345400,56,-21.36,55.77,2.6,293.68,294.15
113,havoysund,75,NO,1505343000,81,71.0,24.66,6.2,281.15,281.15
114,puerto ayora,40,EC,1505343600,73,-0.74,-90.35,8.2,295.15,295.15
115,manzil salim,0,TN,1505343600,52,35.86,8.48,4.1,293.15,293.15
116,adre,76,TD,1505347318,87,13.47,22.2,1.61,295.545,295.545
117,quatre cocos,75,MU,1505343600,56,-20.21,57.76,3.1,296.15,296.15
118,lebu,92,CL,1505347318,100,-37.62,-73.65,8.56,284.045,284.045
119,sokolo,0,ML,1505347318,78,14.73,-6.12,1.36,297.245,297.245
120,ilulissat,75,GL,1505343000,99,69.22,-51.1,2.6,276.15,276.15
121,mountain home,1,US,1505343480,28,43.13,-115.69,1.66,302.75,303.15
122,nizhneyansk,0,RU,1505343600,59,55.64,51.82,8.0,289.15,289.15
123,tianpeng,40,CN,1505343600,88,30.99,103.94,1.0,295.15,295.15
124,nizhneyansk,0,RU,1505343600,59,55.64,51.82,8.0,289.15,289.15
125,abashiri,75,JP,1505343600,87,44.02,144.27,1.0,289.15,289.15
126,coquimbo,0,CL,1505343600,76,-29.95,-71.34,3.6,285.15,285.15
127,samusu,0,CN,1505346854,73,41.43,128.03,1.31,284.595,284.595
128,dikson,92,RU,1505347319,98,73.51,80.55,5.11,277.245,277.245
129,east london,20,ZA,1505346858,100,-33.02,27.91,9.31,291.145,291.145
130,thompson,90,CA,1505343600,66,55.74,-97.86,1.0,284.15,284.15
131,norden,20,DE,1505345100,87,53.6,7.2,5.7,283.61,284.15
132,tsihombe,0,MG,1505346859,63,-25.3,45.48,1.16,286.945,286.945
133,fairbanks,75,US,1505343480,55,64.84,-147.72,2.1,289.15,289.15
134,yar-sale,68,RU,1505347320,100,66.83,70.83,2.31,275.045,275.045
135,atuona,0,PF,1505346066,100,-9.8,-139.03,4.96,299.095,299.095
136,carauari,36,BR,1505347320,78,-4.88,-66.9,2.01,301.045,301.045
137,lokosovo,92,RU,1505347308,84,61.13,74.82,4.51,278.245,278.245
138,hollins,90,US,1505345700,68,37.34,-79.94,1.5,294.19,296.15
139,talnakh,92,RU,1505347288,100,69.49,88.4,3.31,275.195,275.195
140,huarmey,8,PE,1505347321,73,-10.07,-78.15,2.26,289.445,289.445
141,marzuq,0,SD,1505347321,92,14.25,32.99,3.36,295.745,295.745
142,igrim,92,RU,1505347321,99,63.19,64.42,1.16,277.545,277.545
143,illoqqortoormiut,0,IT,1505344800,77,41.9,12.49,2.1,290.55,292.15
144,evensk,0,RU,1505346870,100,61.95,159.23,4.91,278.545,278.545
145,belushya guba,80,RU,1505346198,100,69.71,60.05,4.76,277.595,277.595
146,port alfred,36,ZA,1505346201,90,-33.59,26.89,5.86,288.995,288.995
147,codrington,92,AU,1505346859,99,-38.27,141.97,8.76,284.645,284.645
148,thompson,90,CA,1505343600,66,55.74,-97.86,1.0,284.15,284.15
149,olaine,75,LV,1505346600,93,56.79,23.94,6.2,286.15,286.15
150,qaanaaq,12,GL,1505346200,100,77.48,-69.36,1.76,267.445,267.445
151,muros,75,ES,1505345400,100,42.78,-9.06,1.5,289.15,289.15
152,tripoli,5,LY,1505343300,73,32.88,13.19,2.1,298.15,298.15
153,anori,0,BR,1505347322,73,-3.77,-61.64,1.66,301.645,301.645
154,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
155,skagastrond,0,IS,1505347323,100,65.75,-19.64,5.01,277.695,277.695
156,saratovskaya,0,RU,1505345400,88,44.71,39.22,4.0,293.15,293.15
157,camopi,20,GF,1505347323,59,3.17,-52.32,2.21,301.595,301.595
158,tuatapere,68,NZ,1505346497,100,-46.13,167.68,3.46,281.945,281.945
159,jamestown,75,US,1505343360,77,42.1,-79.24,2.1,294.85,295.15
160,hamilton,75,CA,1505343600,77,43.23,-79.95,3.1,294.34,297.15
161,hilo,90,US,1505343360,78,19.73,-155.09,3.1,297.48,299.15
162,hithadhoo,80,MV,1505346205,100,-0.6,73.08,5.01,300.445,300.445
163,kangaatsiaq,92,GL,1505347323,100,68.31,-53.46,5.21,276.045,276.045
164,furstenfeldbruck,20,DE,1505344800,67,48.18,11.26,5.1,290.49,293.15
165,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
166,puerto madryn,92,AR,1505347291,51,-42.77,-65.04,7.96,289.845,289.845
167,provideniya,20,RU,1505345400,65,64.38,-173.3,4.0,280.15,280.15
168,butaritari,92,KI,1505346199,100,3.07,172.79,9.01,302.195,302.195
169,kapaa,1,US,1505343360,52,22.08,-159.32,7.7,304.61,305.15
170,norman wells,75,CA,1505343600,48,65.28,-126.83,6.2,290.15,290.15
171,barrow,90,US,1505345880,93,71.29,-156.79,2.6,277.15,277.15
172,tautira,40,PF,1505345400,51,-17.73,-149.15,4.6,301.15,301.15
173,alofi,75,NU,1505343600,69,-19.06,-169.92,3.6,301.15,301.15
174,belushya guba,80,RU,1505346198,100,69.71,60.05,4.76,277.595,277.595
175,saldanha,8,ZA,1505343600,81,-33.01,17.94,1.5,279.15,279.15
176,taolanaro,0,MG,1505343600,77,-25.02,46.97,6.2,294.15,294.15
177,edd,44,ER,1505347325,59,13.93,41.69,0.46,298.095,298.095
178,port-gentil,40,GA,1505343600,88,-0.72,8.78,4.1,298.15,298.15
179,georgetown,20,GY,1505343600,88,6.8,-58.16,3.1,300.15,300.15
180,alotau,92,PG,1505347325,99,-10.62,150.67,7.66,298.745,298.745
181,vaini,40,TO,1505343600,64,-21.2,-175.2,4.1,297.15,297.15
182,kapaa,1,US,1505343360,52,22.08,-159.32,7.7,304.61,305.15
183,albany,75,US,1505343240,57,42.65,-73.76,2.6,293.84,297.15
184,sentyabrskiy,92,RU,1505346490,82,60.75,72.86,4.71,278.245,278.245
185,ushuaia,40,AR,1505343600,55,-54.8,-68.3,5.7,275.6,276.15
186,arraial do cabo,0,BR,1505343600,83,-22.97,-42.03,10.3,295.15,295.15
187,sitka,75,US,1505343360,62,57.05,-135.33,3.6,286.97,288.15
188,westport,75,US,1505346960,83,41.14,-73.36,1.5,295.93,297.15
189,port alfred,36,ZA,1505346201,90,-33.59,26.89,5.86,288.995,288.995
190,ushuaia,40,AR,1505343600,55,-54.8,-68.3,5.7,275.6,276.15
191,shenjiamen,100,CN,1505347326,100,29.96,122.3,15.36,297.745,297.745
192,rikitea,80,PF,1505346193,100,-23.12,-134.97,4.56,294.845,294.845
193,guerrero negro,12,MX,1505347306,65,27.98,-114.06,5.56,298.745,298.745
